Link,Price,Description
https://www.ebay.com/itm/382605209867?_trkparms=5079%3A5000014468,US $214.95,Apple iPhone X 64GB Factory Unlocked Phone - Very Good
https://www.ebay.com/itm/304517572567?_trkparms=5079%3A5000014468,US $434.95,Apple iPhone 13 mini 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good
https://www.ebay.com/itm/354557412430?_trkparms=5079%3A5000014468,US $869.49,"SAMSUNG Galaxy S23, S23+, S23Ultra 5G Unlocked Smartphone Cellphone"
https://www.ebay.com/itm/284750194330?_trkparms=5079%3A5000014468,US $629.99,Apple iPhone 13 Pro Max - 128/256/512GB 1TB - Unlocked Verizon - Good Condition
https://www.ebay.com/itm/194994080190?_trkparms=5079%3A5000014468,US $94.99,CAT S62 128GB - Black - (T-Mobile Unlocked ) - Smartphone - Very Good
https://www.ebay.com/itm/402927669238?_trkparms=5079%3A5000014468,US $266.95,Apple iPhone 12 Mini 64GB Unlocked Smartphone - Very Good
https://www.ebay.com/itm/185698601733?_trkparms=5079%3A5000014468,US $224.98,Samsung Galaxy S21 5G SM-G991 128GB Unlocked AT&T Verizon T-Mobile S21 Very Good
https://www.ebay.com/itm/144967883306?_trkparms=5079%3A5000014468,US $119.00,CAT Phone S62 - 128GB - Rugged Waterproof Smartphone - Unlocked - OPEN BOX
https://www.ebay.com/itm/334470172936?_trkparms=5079%3A5000014468,US $181.99,Samsung Galaxy S20 5G Unlocked G981U 128GB Android Smartphone Very Good
https://www.ebay.com/itm/294371039757?_trkparms=5079%3A5000014468,US $174.95,Apple iPhone XR 64GB Factory Unlocked AT&T T-Mobile Verizon Fair Condition
https://www.ebay.com/itm/334582856454?_trkparms=5079%3A5000014468,US $183.99,Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Good
https://www.ebay.com/itm/185955944276?_trkparms=5079%3A5000014468,US $914.99,Apple iPhone 14 Pro Max 256GB ( Unlocked)  US E Sim - Excellent
https://www.ebay.com/itm/165703722318?_trkparms=5079%3A5000014468,US $689.99,Apple iPhone 13 Pro Max  128gb Unlocked - Excellent
https://www.ebay.com/itm/155625591618?_trkparms=5079%3A5000014468,US $869.99,Apple iPhone 14 Pro Max 128GB ( Unlocked)  US E Sim - Excellent
https://www.ebay.com/itm/295317457187?_trkparms=5079%3A5000014468,US $669.95,Apple iPhone 13 Pro Max 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition
https://www.ebay.com/itm/155345676984?_trkparms=5079%3A5000014468,US $659.99,Apple iPhone 14 128GB (Unlocked)  US E-Sim Version Excellent
https://www.ebay.com/itm/404453750766?_trkparms=5079%3A5000014468,US $354.95,Samsung G998 Galaxy S21 Ultra 5G 128GB Unlocked Smartphone - Very Good
https://www.ebay.com/itm/304104247802?_trkparms=5079%3A5000014468,US $484.95,Apple iPhone 12 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition
https://www.ebay.com/itm/155598134652?_trkparms=5079%3A5000014468,US $834.99,Apple iPhone 13 Pro Max  512gb Unlocked - Excellent
https://www.ebay.com/itm/384900626016?_trkparms=5079%3A5000014468,US $264.95,Samsung Galaxy S20 Ultra 5G SM-G988U 128GB Unlocked Smartphone - Good
https://www.ebay.com/itm/295571542373?_trkparms=5079%3A5000014468,US $739.95,Apple iPhone 14 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition
https://www.ebay.com/itm/294462408447?_trkparms=5079%3A5000014468,US $464.95,Apple iPhone 12 Pro 256GB Factory Unlocked AT&T T-Mobile Verizon Good Condition
https://www.ebay.com/itm/363622936966?_trkparms=5079%3A5000014468,US $597.95,Apple iPhone 12 Pro Max 128GB Unlocked Smartphone - Very Good
https://www.ebay.com/itm/363183815277?_trkparms=5079%3A5000014468,US $277.95,Apple iPhone 11 64GB Unlocked Smartphone - Very Good
